,season,player_id,player_name,position,team,conference,overall_incl_gt,pass_incl_gt,rush_incl_gt,firstDown_incl_gt,secondDown_incl_gt,thirdDown_incl_gt,standardDowns_incl_gt,passingDowns_incl_gt,overall_excl_gt,pass_excl_gt,rush_excl_gt,firstDown_excl_gt,secondDown_excl_gt,thirdDown_excl_gt,standardDowns_excl_gt,passingDowns_excl_gt,last_updated
406,2019,4036156,Toren Young,RB,Iowa,Big Ten,0.1226,0.0034,0.2566,0.1885,0.113,0.008,0.164,0.024,0.1226,0.0034,0.2566,0.1885,0.113,0.008,0.164,0.024,2019-11-12 22:50:18
407,2019,4064980,Damonte Coxie,WR,Memphis,American Athletic,0.1225,0.2531,0.0,0.0952,0.134,0.158,0.11,0.15,0.1225,0.2531,0.0,0.0952,0.134,0.158,0.11,0.15,2019-11-12 22:50:18
408,2019,4360306,Justyn Ross,WR,Clemson,ACC,0.1222,0.2469,0.0,0.1116,0.112,0.184,0.102,0.183,0.1222,0.2469,0.0,0.1116,0.112,0.184,0.102,0.183,2019-11-12 22:50:18
409,2019,4259356,Harry Trotter,RB,Kansas State,Big 12,0.1216,0.0145,0.1929,0.1454,0.123,0.072,0.152,0.056,0.1216,0.0145,0.1929,0.1454,0.123,0.072,0.152,0.056,2019-11-12 22:50:18
410,2019,4570219,Jared Smart,WR,Hawai'i,Mountain West,0.1214,0.1888,0.0,0.1489,0.086,0.111,0.127,0.107,0.1214,0.1888,0.0,0.1489,0.086,0.111,0.127,0.107,2019-11-12 22:50:18
411,2019,4039307,Marquez Stevenson,WR,Houston,American Athletic,0.1213,0.2335,0.0289,0.1163,0.13,0.103,0.111,0.141,0.1213,0.2335,0.0289,0.1163,0.13,0.103,0.111,0.141,2019-11-12 22:50:18
412,2019,4373637,Lopini Katoa,RB,BYU,FBS Independents,0.1208,0.0507,0.1985,0.1236,0.14,0.095,0.112,0.139,0.1208,0.0507,0.1985,0.1236,0.14,0.095,0.112,0.139,2019-11-12 22:50:18
413,2019,4039468,Andrew Parchment,WR,Kansas,Big 12,0.1207,0.2407,0.004,0.0909,0.14,0.155,0.107,0.147,0.1207,0.2407,0.004,0.0909,0.14,0.155,0.107,0.147,2019-11-12 22:50:18
414,2019,4035692,Tyler Vaughns,WR,USC,Pac-12,0.1207,0.2069,0.0,0.1126,0.112,0.156,0.114,0.139,0.1207,0.2069,0.0,0.1126,0.112,0.156,0.114,0.139,2019-11-12 22:50:18
415,2019,4426658,Noah Cain,RB,Penn State,Big Ten,0.1206,0.0313,0.212,0.1441,0.125,0.068,0.153,0.05,0.1206,0.0313,0.212,0.1441,0.125,0.068,0.153,0.05,2019-11-12 22:50:18
